,ds,119097780,常1,常2,常3,常4,常5,常6,常7,异8,异9,异10,异11,异12,标合,异型合,合计,苏,y,通,泰,Unnamed: 21,Unnamed: 22,Unnamed: 23,月份,地区,营销,Unnamed: 27,Unnamed: 28,WMS,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,df
0,2022-01-01,2118670.0,248459.0,248893.0,249120.0,248484.0,247747.0,248445.0,248704.0,75839.0,75842.0,75781.0,75659.0,75697.0,1739852.0,378818.0,2118670.0,678195.0,554697.0,488461.0,397317.0,2118670,0,,,,分拣总量（条）,分拣总量（万支）,分拣总量（箱）,异型烟（条）,异型烟（箱）,,,,,,,2022-01-01
1,2022-01-02,2178189.0,251557.0,253610.0,250785.0,257731.0,257919.0,252375.0,254548.0,85896.0,86932.0,87229.0,64952.0,74655.0,1778525.0,399664.0,2178189.0,761851.0,542603.0,481821.0,391914.0,2178189,0,,1月（1.1-1.30）,苏州,16758440,334782.768,66956.55376,,,16758440.0,0.0,,,,,2022-01-02
2,2022-01-03,2220261.0,258855.0,257822.0,258035.0,258382.0,259053.0,259827.0,258628.0,91497.0,91532.0,91557.0,60133.0,74940.0,1810602.0,409659.0,2220261.0,755559.0,528033.0,548254.0,388415.0,2220261,0,,,无锡,9822405,196333.128,39266.6256,,,9822405.0,0.0,,,,,2022-01-03
3,2022-01-04,2193186.0,257740.0,257220.0,255751.0,259097.0,259906.0,257795.0,257455.0,91761.0,91569.0,91559.0,31811.0,81522.0,1804964.0,388222.0,2193186.0,742197.0,544267.0,485036.0,421686.0,2193186,0,,,南通,11379395,227439.5748,45487.91496,,,11379395.0,0.0,,,,,2022-01-04
4,2022-01-05,2090960.0,248946.0,246387.0,246132.0,248147.0,247476.0,246598.0,246767.0,84537.0,83863.0,84201.0,39809.0,68097.0,1730453.0,360507.0,2090960.0,677861.0,537267.0,473907.0,401925.0,2090960,0,,,泰州,8441125,168678.058,33735.6116,,,8441125.0,0.0,,上报用量,定额应用量,实际上报万箱用膜量,2022-01-05
5,2022-01-07,2427955.0,296979.0,291164.0,293071.0,290052.0,290863.0,291229.0,291536.0,87725.0,87978.0,88214.0,41225.0,77919.0,2044894.0,383061.0,2427955.0,933635.0,547660.0,498535.0,448125.0,2427955,0,,合计,,46401365,927233.5288,185446.70592,7021407,28085.628,46401365.0,0.0,,74.6,64.906347072,4.022719067988285,2022-01-07
6,2022-01-08,2505160.0,299236.0,304977.0,303340.0,300852.0,298518.0,296649.0,299176.0,91546.0,91717.0,91823.0,47243.0,80083.0,2102748.0,402412.0,2505160.0,1038610.0,531026.0,492669.0,442855.0,2505160,0,,2月（1.31-2.28）,苏州,6990212,139598.49,27919.69804,,,6990212.0,0.0,,,,,2022-01-08
7,2022-01-09,2547366.0,304985.0,307476.0,307691.0,304985.0,305489.0,304093.0,302219.0,90135.0,90177.0,90211.0,59882.0,80023.0,2136938.0,410428.0,2547366.0,1032177.0,515800.0,560294.0,439095.0,2547366,0,,,无锡,3270827,65355.9969,13071.19938,,,3270827.0,0.0,,,,,2022-01-09
8,2022-01-10,2524281.0,304916.0,302665.0,302570.0,304824.0,305346.0,304819.0,305748.0,85593.0,85785.0,85975.0,58544.0,77496.0,2130888.0,393393.0,2524281.0,1021903.0,531059.0,493039.0,478280.0,2524281,0,,,南通,5100340,101963.68,20392.736,,,5100340.0,0.0,,,,,2022-01-10
9,2022-01-11,2405867.0,290391.0,292512.0,291316.0,290018.0,290736.0,290998.0,290759.0,81284.0,81174.0,79631.0,54356.0,72692.0,2036730.0,369137.0,2405867.0,941695.0,524703.0,482599.0,456870.0,2405867,0,,,泰州,3084305,61671.196,12334.2392,,,3084305.0,0.0,,,,,2022-01-11
